Category,Fuel,Segment,Euro Standard,Technology,Pollutant,Mode,Road Slope,Load,Min Speed [km/h],Max Speed [km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Thita,Reduction Factor [%],Bio Reduction Factor [%],120,EF [g/km] or ECF [MJ/km]
Passenger Cars,Petrol,Mini,Euro 4,GDI,CO,,,,5,130,0,"-0,033","5,11",0,"0,002","-0,529","37,51",0,"0,0%","0,0%",120,"1,104"
Passenger Cars,Petrol,Mini,Euro 4,GDI,NOx,,,,5,130,0,"-0,009","0,577",0,0,0,"5,43",0,"0,0%","0,0%",120,"0,019"
Passenger Cars,Petrol,Mini,Euro 4,GDI,VOC,,,,5,130,0,0,"0,047",0,0,0,"4,01",0,"0,0%","0,0%",120,"0,0204"
Passenger Cars,Petrol,Mini,Euro 4,GDI,PM Exhaust,Urban Peak,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0013"
Passenger Cars,Petrol,Mini,Euro 4,GDI,PM Exhaust,Urban Off Peak,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0013"
Passenger Cars,Petrol,Mini,Euro 4,GDI,PM Exhaust,Rural,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0008"
Passenger Cars,Petrol,Mini,Euro 4,GDI,PM Exhaust,Highway,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0012"
Passenger Cars,Petrol,Mini,Euro 4,GDI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 4,GDI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 4,GDI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 4,GDI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 4,GDI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CO,,,,5,130,0,"-0,033","5,11",0,"0,002","-0,529","37,51",0,"0,0%","0,0%",120,"1,104"
Passenger Cars,Petrol,Mini,Euro 4,PFI,NOx,,,,5,130,0,"-0,009","0,577",0,0,0,"5,43",0,"0,0%","0,0%",120,"0,019"
Passenger Cars,Petrol,Mini,Euro 4,PFI,VOC,,,,5,130,0,0,"0,047",0,0,0,"4,01",0,"0,0%","0,0%",120,"0,0204"
Passenger Cars,Petrol,Mini,Euro 4,PFI,PM Exhaust,Urban Peak,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0013"
Passenger Cars,Petrol,Mini,Euro 4,PFI,PM Exhaust,Urban Off Peak,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0013"
Passenger Cars,Petrol,Mini,Euro 4,PFI,PM Exhaust,Rural,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0008"
Passenger Cars,Petrol,Mini,Euro 4,PFI,PM Exhaust,Highway,,,10,130,0,0,"0,001",0,0,0,1,0,"0,0%","0,0%",120,"0,0012"
Passenger Cars,Petrol,Mini,Euro 4,PFI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 4,PFI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CO,,,,5,130,0,"-0,102","6,877","10,38","0,002","-0,438","30,34",0,"0,0%","0,0%",120,"0,9602"
Passenger Cars,Petrol,Mini,Euro 5,GDI,NOx,,,,5,130,0,"0,103","0,239","-0,34","0,035","1,986","1,26",0,"0,0%","0,0%",120,"0,011"
Passenger Cars,Petrol,Mini,Euro 5,GDI,VOC,,,,5,130,0,"-0,001","0,045","0,17",0,"-0,048","6,21",0,"0,0%","0,0%",120,"0,0111"
Passenger Cars,Petrol,Mini,Euro 5,GDI,PM Exhaust,,,,10,130,0,0,"0,007","0,06",0,"-0,088","6,01",0,"0,0%","0,0%",120,"0,0025"
Passenger Cars,Petrol,Mini,Euro 5,GDI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 5,GDI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 5,PFI,CO,,,,5,130,0,"-0,102","6,877","10,38","0,002","-0,438","30,34",0,"0,0%","0,0%",120,"0,9602"
Passenger Cars,Petrol,Mini,Euro 5,PFI,NOx,,,,5,130,0,"0,103","0,239","-0,34","0,035","1,986","1,26",0,"0,0%","0,0%",120,"0,011"
Passenger Cars,Petrol,Mini,Euro 5,PFI,VOC,,,,5,130,0,"-0,001","0,045","0,17",0,"-0,048","6,21",0,"0,0%","0,0%",120,"0,0111"
Passenger Cars,Petrol,Mini,Euro 5,PFI,PM Exhaust,,,,10,130,0,0,"0,007","0,06",0,"-0,088","6,01",0,"0,0%","0,0%",120,"0,0025"
Passenger Cars,Petrol,Mini,Euro 5,PFI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 5,PFI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 5,PFI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 5,PFI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 5,PFI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,CO,,,,5,130,"0,001","-0,18","11,297","16,9","0,003","-0,719","50,79",0,"0,0%","0,0%",120,"0,8173"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,NOx,,,,5,130,"-0,001","0,139","0,193","-0,49","0,034","2,293","0,41",0,"0,0%","0,0%",120,"0,0104"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,VOC,,,,5,130,0,"-0,001","0,048","0,03",0,"-0,084","6,35",0,"0,0%","0,0%",120,"0,0119"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,PM Exhaust,,,,10,130,0,0,"0,009","0,04",0,"-0,078","6,02",0,"0,0%","0,0%",120,"0,0023"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,CO,,,,5,130,"0,001","-0,18","11,297","16,9","0,003","-0,719","50,79",0,"0,0%","0,0%",120,"0,8173"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,NOx,,,,5,130,"-0,001","0,139","0,193","-0,49","0,034","2,293","0,41",0,"0,0%","0,0%",120,"0,0104"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,VOC,,,,5,130,0,"-0,001","0,048","0,03",0,"-0,084","6,35",0,"0,0%","0,0%",120,"0,0119"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,PM Exhaust,,,,10,130,0,0,"0,009","0,04",0,"-0,078","6,02",0,"0,0%","0,0%",120,"0,0023"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,CO,,,,5,130,"0,001","-0,18","11,297","16,9","0,003","-0,719","50,79",0,"0,0%","0,0%",120,"0,8173"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,NOx,,,,5,130,"-0,001","0,139","0,193","-0,49","0,034","2,293","0,41",0,"0,0%","0,0%",120,"0,0104"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,VOC,,,,5,130,0,"-0,001","0,048","0,03",0,"-0,084","6,35",0,"0,0%","0,0%",120,"0,0119"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,PM Exhaust,,,,10,130,0,0,"0,009","0,04",0,"-0,078","6,02",0,"0,0%","0,0%",120,"0,0023"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,CO,,,,5,130,"0,001","-0,148","9,127","8,82","0,002","-0,545","38,7",0,"0,0%","0,0%",120,"0,8294"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,NOx,,,,5,130,"-0,001","0,167","0,127","-0,51","0,037","2,402",0,0,"0,0%","0,0%",120,"0,0105"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,VOC,,,,5,130,0,"-0,001","0,054","-0,09",0,"-0,077","5,94",0,"0,0%","0,0%",120,"0,0133"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,PM Exhaust,,,,10,130,0,0,"0,007","0,01",0,"-0,035","3,51",0,"0,0%","0,0%",120,"0,0023"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,CO,,,,5,130,"0,001","-0,148","9,127","8,82","0,002","-0,545","38,7",0,"0,0%","0,0%",120,"0,8294"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,NOx,,,,5,130,"-0,001","0,167","0,127","-0,51","0,037","2,402",0,0,"0,0%","0,0%",120,"0,0105"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,VOC,,,,5,130,0,"-0,001","0,054","-0,09",0,"-0,077","5,94",0,"0,0%","0,0%",120,"0,0133"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,PM Exhaust,,,,10,130,0,0,"0,007","0,01",0,"-0,035","3,51",0,"0,0%","0,0%",120,"0,0023"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,CO,,,,5,130,"0,001","-0,148","9,127","8,82","0,002","-0,545","38,7",0,"0,0%","0,0%",120,"0,8294"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,NOx,,,,5,130,"-0,001","0,167","0,127","-0,51","0,037","2,402",0,0,"0,0%","0,0%",120,"0,0105"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,VOC,,,,5,130,0,"-0,001","0,054","-0,09",0,"-0,077","5,94",0,"0,0%","0,0%",120,"0,0133"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,PM Exhaust,,,,10,130,0,0,"0,007","0,01",0,"-0,035","3,51",0,"0,0%","0,0%",120,"0,0023"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,CO,,,,5,130,"0,001","-0,148","9,127","8,82","0,002","-0,545","38,7",0,"0,0%","0,0%",120,"0,8294"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,NOx,,,,5,130,"-0,001","0,167","0,127","-0,51","0,037","2,402",0,0,"0,0%","0,0%",120,"0,0105"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,VOC,,,,5,130,0,"-0,001","0,054","-0,09",0,"-0,077","5,94",0,"0,0%","0,0%",120,"0,0133"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,PM Exhaust,,,,10,130,0,0,"0,007","0,01",0,"-0,035","3,51",0,"0,0%","0,0%",120,"0,0023"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,CO,,,,5,130,"0,001","-0,148","9,127","8,82","0,002","-0,545","38,7",0,"0,0%","0,0%",120,"0,8294"
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,NOx,,,,5,130,"-0,001","0,167","0,127","-0,51","0,037","2,402",0,0,"0,0%","0,0%",120,"0,0105"
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,VOC,,,,5,130,0,"-0,001","0,054","-0,09",0,"-0,077","5,94",0,"0,0%","0,0%",120,"0,0133"
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,PM Exhaust,,,,10,130,0,0,"0,007","0,01",0,"-0,035","3,51",0,"0,0%","0,0%",120,"0,0023"
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,CO,,,,5,130,"0,001","-0,148","9,127","8,82","0,002","-0,545","38,7",0,"0,0%","0,0%",120,"0,8294"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,NOx,,,,5,130,"-0,001","0,167","0,127","-0,51","0,037","2,402",0,0,"0,0%","0,0%",120,"0,0105"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,VOC,,,,5,130,0,"-0,001","0,054","-0,09",0,"-0,077","5,94",0,"0,0%","0,0%",120,"0,0133"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,PM Exhaust,,,,10,130,0,0,"0,007","0,01",0,"-0,035","3,51",0,"0,0%","0,0%",120,"0,0023"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,FC,,,,5,130,"0,005","-0,272","17,919",0,"0,001","0,097","3,72",0,"0,0%","0,0%",120,"2,131"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,CH4,Urban Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,CH4,Urban Off Peak,,,10,130,0,0,"2,87",0,0,0,1000,0,"0,0%","0,0%",120,"0,0029"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,CH4,Rural,,,10,130,0,0,"2,69",0,0,0,1000,0,"0,0%","0,0%",120,"0,0027"
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,CH4,Highway,,,10,130,0,0,"5,08",0,0,0,1000,0,"0,0%","0,0%",120,"0,0051"
Passenger Cars,Petrol,Small,PRE ECE,,CO,,,,10,130,0,"-0,011","0,781","15,32",0,0,"0,03",0,"0,0%","0,0%",120,"17,4549"
Passenger Cars,Petrol,Small,PRE ECE,,NOx,,,,10,130,"-0,003","0,545","28,429",0,0,0,"24,24",0,"0,0%","0,0%",120,"1,857"
Passenger Cars,Petrol,Small,PRE ECE,,VOC,,,,10,130,0,"0,027","1,101","3,06",0,"0,015","0,11",0,"0,0%","0,0%",120,"1,0998"
Passenger Cars,Petrol,Small,PRE ECE,,PM Exhaust,Urban Peak,,,10,130,0,0,"0,003",0,0,0,1,0,"0,0%","0,0%",120,"0,0032"
Passenger Cars,Petrol,Small,PRE ECE,,PM Exhaust,Urban Off Peak,,,10,130,0,0,"0,003",0,0,0,1,0,"0,0%","0,0%",120,"0,0032"
Passenger Cars,Petrol,Small,PRE ECE,,PM Exhaust,Rural,,,10,130,0,0,"0,002",0,0,0,1,0,"0,0%","0,0%",120,"0,0018"
Passenger Cars,Petrol,Small,PRE ECE,,PM Exhaust,Highway,,,10,130,0,0,"0,002",0,0,0,1,0,"0,0%","0,0%",120,"0,0019"
Passenger Cars,Petrol,Small,PRE ECE,,FC,,,,10,130,"0,001","-0,076","3,014","45,58",0,"-0,019","1,25",0,"0,0%","0,0%",120,"3,09"
Passenger Cars,Petrol,Small,PRE ECE,,CH4,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,"0,0%","0,0%",120,"0,131"
Passenger Cars,Petrol,Small,PRE ECE,,CH4,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,"0,0%","0,0%",120,"0,131"
Passenger Cars,Petrol,Small,PRE ECE,,CH4,Rural,,,10,130,0,0,86,0,0,0,1000,0,"0,0%","0,0%",120,"0,086"
Passenger Cars,Petrol,Small,PRE ECE,,CH4,Highway,,,10,130,0,0,41,0,0,0,1000,0,"0,0%","0,0%",120,"0,041"
Passenger Cars,Petrol,Small,ECE 15/00-01,,CO,,,,10,130,0,"-0,021","0,988","16,37",0,0,"0,04",0,"0,0%","0,0%",120,"24,6392"
Passenger Cars,Petrol,Small,ECE 15/00-01,,NOx,,,,10,130,"-0,003","0,545","28,429",0,0,0,"24,24",0,"0,0%","0,0%",120,"1,857"
Passenger Cars,Petrol,Small,ECE 15/00-01,,VOC,,,,10,130,0,"-0,003","-0,14","7,98",0,"-0,008","0,19",0,"0,0%","0,0%",120,"1,0719"
Passenger Cars,Petrol,Small,ECE 15/00-01,,PM Exhaust,Urban Peak,,,10,130,0,0,"0,003",0,0,0,1,0,"0,0%","0,0%",120,"0,0032"
Passenger Cars,Petrol,Small,ECE 15/00-01,,PM Exhaust,Urban Off Peak,,,10,130,0,0,"0,003",0,0,0,1,0,"0,0%","0,0%",120,"0,0032"
Passenger Cars,Petrol,Small,ECE 15/00-01,,PM Exhaust,Rural,,,10,130,0,0,"0,002",0,0,0,1,0,"0,0%","0,0%",120,"0,0018"
Passenger Cars,Petrol,Small,ECE 15/00-01,,PM Exhaust,Highway,,,10,130,0,0,"0,002",0,0,0,1,0,"0,0%","0,0%",120,"0,0019"
Passenger Cars,Petrol,Small,ECE 15/00-01,,FC,,,,10,130,"0,001","-0,112","8,513","84,89",0,"0,016","2,46",0,"0,0%","0,0%",120,"2,6231"
Passenger Cars,Petrol,Small,ECE 15/00-01,,CH4,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,"0,0%","0,0%",120,"0,131"
Passenger Cars,Petrol,Small,ECE 15/00-01,,CH4,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,"0,0%","0,0%",120,"0,131"
Passenger Cars,Petrol,Small,ECE 15/00-01,,CH4,Rural,,,10,130,0,0,86,0,0,0,1000,0,"0,0%","0,0%",120,"0,086"
Passenger Cars,Petrol,Small,ECE 15/00-01,,CH4,Highway,,,10,130,0,0,41,0,0,0,1000,0,"0,0%","0,0%",120,"0,041"
Passenger Cars,Petrol,Small,ECE 15/02,,CO,,,,10,130,0,"-0,003","0,055","5,72",0,0,"0,01",0,"0,0%","0,0%",120,"11,0537"
Passenger Cars,Petrol,Small,ECE 15/02,,NOx,,,,10,130,"0,011","-0,228","90,968",0,0,0,"61,51",0,"0,0%","0,0%",120,"3,627"
Passenger Cars,Petrol,Small,ECE 15/02,,VOC,,,,10,130,0,"-0,002","-0,014","4,94",0,"-0,003","0,12",0,"0,0%","0,0%",120,"0,9696"
Passenger Cars,Petrol,Small,ECE 15/02,,PM Exhaust,Urban Peak,,,10,130,0,0,"0,003",0,0,0,1,0,"0,0%","0,0%",120,"0,0032"
Passenger Cars,Petrol,Small,ECE 15/02,,PM Exhaust,Urban Off Peak,,,10,130,0,0,"0,003",0,0,0,1,0,"0,0%","0,0%",120,"0,0032"
Passenger Cars,Petrol,Small,ECE 15/02,,PM Exhaust,Rural,,,10,130,0,0,"0,002",0,0,0,1,0,"0,0%","0,0%",120,"0,0018"
Passenger Cars,Petrol,Small,ECE 15/02,,PM Exhaust,Highway,,,10,130,0,0,"0,002",0,0,0,1,0,"0,0%","0,0%",120,"0,0019"
Passenger Cars,Petrol,Small,ECE 15/02,,FC,,,,10,130,"0,002","-0,126","22,849","50,46","-0,001","0,203","2,89",0,"0,0%","0,0%",120,"2,7471"
Passenger Cars,Petrol,Small,ECE 15/02,,CH4,Urban Peak,,,10,130,0,0,131,0,0,0,1000,0,"0,0%","0,0%",120,"0,131"
